hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
30 Ari B,,6284,1.23,1.22,0.12,,4.35,,,42.61,
30 Ari B,,6331,1.41,1.93,0.19,,4.43,,,,
30 Ari A,,,,,,,,,,40,
30 Ari B,,,,,,,,,,,
30 Ari A B,,,,,,,,,,,
4 UMa,,4430,18.24,,,2.062,,,,,
4 UMa,,4531,16.75,1.61,-0.19,,2.32,2.08,,,
4 UMa,,,,,,,,,,,
4 UMa,K1 III,4415,18.11,1.23,-0.25,,1.8,4.604,,,
4 UMa,,4482.9,16.97,,-0.2,,,,,,
4 UMa,K0,,,,,,,,,,
42 Dra B,,3820,,,,,,,,,
42 Dra,,4480,19.84,,,2.155,,,,,
42 Dra,,4397.53,20.27,,-0.43,,,,,,
42 Dra,K0,,,,,,,,,,
42 Dra,,4452,19.51,1.12,-0.41,,2.09,5.911,,,
42 Dra,K1.5 III,4200,22.03,0.98,-0.46,,1.71,9.49,,1,
47 UMa,,,,,,,,,,3,
47 UMa,G0V,5882,1.24,1.06,0.04,0.233,4.31,6.48,,,
47 UMa,,,,,,,,,,,
47 UMa,,5947,1.21,,,0.216,,,,,
47 UMa,,,,,,,,,,,
47 UMa,,,,,,,,,,,
47 UMa,G0 V,5882,,1.06,0.04,,,,,2.8,
47 UMa,,5925,,1.05,0.05,,4.45,,,,
47 UMa,,,,,,,,,,2.8,
47 UMa,,,1.24,1.06,,,4.31,6.48,,,
47 UMa,,5850,,,0.01,,4.28,,,,
47 UMa,,5872,1.21,1.06,0.04,0.198,4.3,,0.8366,,
47 UMa,,5829.16,1.14,1.01,0.026,,4.33,,,,
47 UMa,,,,,,,,15,,,
47 UMa,G0,,,,,,,,,,
47 UMa,G1 V,,,,,,,,,,
47 UMa,,5892,1.23,1.03,0,,4.27,7.3,,2.9,
47 UMa,G0 V,,,,,,,,,,
47 UMa,,,,,,,,,,,
47 UMa,,,,,,,,,,,
