hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
Kepler-1684,,4551,0.67,0.67,-0.14,,4.61,,0.2209,,
Kepler-1684,,,,,,,,,,,
Kepler-1684,,4505,0.67,0.67,-0.1,,4.62,,0.1177,,
Kepler-1684,,4706.54,0.67,0.75,0.127,-0.707,4.67,,3.5672,,
Kepler-1684,,4300,0.71,0.65,,,4.55,,,,
Kepler-1685,,5470,0.9,0.99,,,4.53,,,,
Kepler-1685,,5470,0.9,,,,4.53,,,,
Kepler-1685,,5470,0.85,,0.237,,4.59,,,,
Kepler-1685,,5681,0.92,1.04,0.21,,4.52,,0.1758,,
Kepler-1685,,5681,0.92,1.04,0.21,,4.52,,2.2199,,
Kepler-1685,,5681,0.92,1.04,0.21,,4.52,,0.1758,,
Kepler-1685,,5470,0.85,1.01,,,4.59,,,,
Kepler-1685,,5484,0.84,0.96,,-0.245,4.58,,2.321,,
Kepler-1685,,5681,0.92,1.04,0.21,,4.52,,0.1758,,
Kepler-1685,,,,,,,,,,,
Kepler-1685,,5378.58,0.79,,,-0.332,,,,,
Kepler-1686,,5806,1.1,1,0.06,,4.35,,2.2062,,
Kepler-1686,,5714.96,1.2,1.02,0.077,0.141,4.29,,0.8332,,
Kepler-1686,,,,,,,,,,,
Kepler-1686,,5849,0.98,,,,4.46,,,,
Kepler-1686,,5774.33,1.14,,,0.116,,,,,
Kepler-1686,,5806,1.1,1,0.06,,4.35,,1.1581,,
Kepler-1686,,6123,0.98,1.07,,,4.48,0.4,,,
Kepler-1686,,5806,1.1,1,0.06,,4.35,,2.2062,,
Kepler-1686,,5849,0.98,,-0.051,,4.49,,,,
Kepler-1686,,5806,1.1,1,0.06,,4.35,,2.2062,,
Kepler-1686,,5849,0.98,1.03,,,4.46,,,,
Kepler-1687,,4249,0.65,,,-0.908,,,,,
Kepler-1687,,4101,0.7,,-0.204,,4.53,,,,
Kepler-1687,,,,,,,,,,,
Kepler-1687,,4024,0.55,0.56,-0.2,,4.71,,1.5002,,
Kepler-1687,,4024,0.55,0.56,-0.2,,4.71,,1.5002,,
Kepler-1687,,4132,0.73,0.65,,-0.859,4.53,,2.3936,,
Kepler-1687,,4101,0.54,0.56,,,4.73,,,,
Kepler-1687,,4102,0.58,0.6,-0.14,,4.69,,0.1868,,
Kepler-1687,,4101,0.54,,,,4.73,,,,
Kepler-1687,,4024,0.55,0.56,-0.2,,4.71,,1.5002,,
Kepler-1687,,4256,0.55,0.58,,,4.72,13.8,,,
Kepler-1688,,4936.24,,,,,,,,,
Kepler-1688,,4897,1.83,0.95,0.24,,3.89,,3.1436,,
Kepler-1688,,4897,1.83,0.95,0.24,,3.89,,3.1436,,
Kepler-1688,,4692,1.48,,0.208,,4.11,,,,
Kepler-1688,,4868,0.75,0.81,0.14,,4.6,,0.0728,,
Kepler-1688,,4797,0.7,0.69,,,4.62,14,,,
Kepler-1688,,4897,1.83,0.95,0.24,,3.89,,3.1436,,
Kepler-1688,,,,,,,,,,,
Kepler-1688,,4632.11,,,-0.046,,,,,,
Kepler-1689,,5806,0.96,,,-0.028,,,,,
Kepler-1689,,5798,1,0.92,-0.16,,4.4,,4.7511,,
Kepler-1689,,5827,0.93,0.94,-0.16,,4.47,,2.6544,,
Kepler-1689,,5995,0.98,1.02,,,4.46,2.5,,,
Kepler-1689,,5798,1,0.92,-0.16,,4.4,,4.7511,,
Kepler-1689,,5798,1,0.92,-0.16,,4.4,,4.7511,,
Kepler-1689,,5693,1.01,,-0.595,,4.46,,,,
Kepler-1689,,5731.43,1,1.02,-0.146,-0.016,4.45,,1.4588,,
Kepler-1689,,,,,,,,,,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,0.9632,,
Kepler-169,,5001,0.76,0.81,0.04,,4.58,,0.4606,,
Kepler-169,,4985,0.91,0.86,,,4.46,,,,
Kepler-169,,4985,0.91,,,,4.46,,,,
Kepler-169,,,,,,,,,,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,0.9632,,
Kepler-169,,,,,,,,,,,
Kepler-169,,5001,0.76,0.81,0.04,,4.58,,1.0226,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,3.275,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,0.9632,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,2.6235,,
Kepler-169,,5001,0.76,0.81,0.04,,4.58,,0.9855,,
Kepler-169,,5058,1.86,0.92,,,3.86,13.8,,,
Kepler-169,,4997,0.76,,,,4.58,,,,
Kepler-169,,,,,,,,,,,
Kepler-169,,4985,0.91,,,,4.46,,,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,0.3649,,
Kepler-169,,5046,0.73,,,,,,,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,3.275,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,2.6235,,
Kepler-169,,5001,0.76,0.81,0.04,,4.58,,0.7783,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,2.6235,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,2.6133,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,2.6133,,
Kepler-169,,5001,0.76,0.81,0.04,,4.58,,1.2171,,
Kepler-169,,5012.25,0.73,,,-0.523,,,,,
Kepler-169,,4930,0.77,0.81,,-0.496,4.57,,2.46,,
Kepler-169,,5058,1.86,0.92,,,3.86,13.8,,,
Kepler-169,,5058,1.86,0.92,,,3.86,13.8,,,
Kepler-169,,5070,0.78,0.84,0.05,,4.58,3.72,,,
Kepler-169,,5058,1.86,0.92,,,3.86,13.8,,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,2.6133,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,0.3649,,
Kepler-169,,4985,1.26,,0.238,,4.24,,,,
Kepler-169,,,,,,,,,,,
Kepler-169,,5058,1.86,0.92,,,3.86,13.8,,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,0.3649,,
Kepler-169,,5173,0.94,0.85,0.26,,4.42,,3.275,,
Kepler-169,,,,,,,,,,,
Kepler-1690,,5735,0.83,0.88,-0.3,,4.54,,6.5458,,
Kepler-1690,,5735,0.83,0.88,-0.3,,4.54,,6.5458,,
Kepler-1690,,5717,0.98,0.91,,,4.41,8.5,,,
Kepler-1690,,5542,1.05,,-0.062,,4.42,,,,
Kepler-1690,,5735,0.83,0.88,-0.3,,4.54,,6.5458,,
Kepler-1690,,5336.5,0.87,,,-0.254,,,,,
Kepler-1690,,,,,,,,,,,
Kepler-1690,,5422,0.89,0.87,0,,4.48,,6.3281,,
Kepler-1690,,5404,0.86,0.94,,-0.243,4.54,,2.0666,,
Kepler-1691,,6000,1.13,1.11,,0.175,4.38,,1.0802,,
Kepler-1691,,5753,1.21,,,0.158,,,,,
Kepler-1691,,5927,1.19,1.09,0.16,,4.32,,3.3579,,
Kepler-1691,,6362,1.14,1.22,0.07,,4.41,,2.6997,,
Kepler-1691,,6084,1.07,,0.009,,4.43,,,,
Kepler-1691,,,,,,,,,,,
Kepler-1691,,6362,1.14,1.22,0.07,,4.41,,2.6997,,
Kepler-1691,,6362,1.14,1.22,0.07,,4.41,,2.6997,,
Kepler-1691,,6325,1.08,1.14,,,4.43,0.61,,,
Kepler-1692,,5234,0.84,,0.345,,4.57,,,,
Kepler-1692,,5452,0.9,1.01,0.36,,4.54,,2.1294,,
Kepler-1692,,5452,0.9,1.01,0.36,,4.54,,2.1294,,
Kepler-1692,,5299,0.78,0.82,,,4.57,6.1,,,
Kepler-1692,,4935.73,0.94,,,-0.323,,,,,
Kepler-1692,,5452,0.9,1.01,0.36,,4.54,,2.1294,,
Kepler-1692,,,,,,,,,,,
Kepler-1692,,5452,0.9,1.01,0.36,,4.54,,1.9259,,
Kepler-1692,,5146,0.87,0.87,,-0.324,4.5,,1.8877,,
Kepler-1693,,,,,,,,,,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,1.4073,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,2.709,,
Kepler-1693,,,,,,,,,,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,1.4073,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,0.8741,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,2.709,,
Kepler-1693,,,,,,,,,,,
Kepler-1693,,5677,0.84,0.94,,,4.56,0.8,,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,0.8741,,
Kepler-1693,,5553,1.1,0.94,0.16,,4.33,,2.2808,,
Kepler-1693,,5503,0.86,,-0.084,,4.57,,,,
Kepler-1693,,5677,0.84,0.94,,,4.56,0.8,,,
Kepler-1693,,5553,1.1,0.94,0.16,,4.33,,1.836,,
Kepler-1693,,5553,1.1,0.94,0.16,,4.33,,2.8965,,
Kepler-1693,,5432.34,0.88,0.95,0.026,-0.218,4.53,,1.9768,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,2.709,,
Kepler-1693,,5693,0.86,0.95,-0.08,,4.55,,1.4073,,
Kepler-1693,,5356,0.89,,,-0.228,,,,,
Kepler-1693,,,,,,,,,,,
Kepler-1694,,4954,0.76,0.82,,-0.508,4.59,,2.6725,,
Kepler-1694,,5038,0.68,0.78,,,4.66,0.7,,,
Kepler-1694,,,,,,,,,,,
Kepler-1694,,5018,0.84,0.8,0.14,,4.49,,6.5678,,
Kepler-1694,,4832,0.61,,-0.581,,4.77,,,,
Kepler-1694,,4972,0.63,0.68,-0.58,,4.67,,6.2973,,
Kepler-1694,,4972,0.63,0.68,-0.58,,4.67,,6.2973,,
Kepler-1694,,4958,0.72,,,-0.548,,,,,
Kepler-1694,,4972,0.63,0.68,-0.58,,4.67,,6.2973,,
Kepler-1695,,5583,0.79,0.86,-0.26,,4.58,,8.568,,
Kepler-1695,,5604,0.82,0.92,,,4.58,0.5,,,
Kepler-1695,,5595,0.8,0.89,-0.24,,4.58,,7.5959,,
Kepler-1695,,,,,,,,,,,
Kepler-1695,,5583,0.79,0.86,-0.26,,4.58,,8.568,,
Kepler-1695,,5473.19,0.99,0.96,-0.035,-0.104,4.43,,1.407,,
Kepler-1695,,5437,0.95,,,-0.148,,,,,
Kepler-1695,,5583,0.79,0.86,-0.26,,4.58,,8.568,,
Kepler-1695,,5415,0.5,,-0.206,,4.99,,,,
Kepler-1696,,,,,,,,,,,
Kepler-1696,,5379,1.27,,,0.085,,,,,
Kepler-1696,,5712,1.2,1.02,,0.139,4.29,,0.8361,,
Kepler-1696,,5982,0.96,1.05,-0.04,,4.49,,1.0694,,
Kepler-1696,,5982,0.96,1.05,-0.04,,4.49,,1.3212,,
Kepler-1696,,5982,0.96,1.05,-0.04,,4.49,,1.3212,,
Kepler-1696,,5982,0.96,1.05,-0.04,,4.49,,1.3212,,
Kepler-1696,,5703,0.77,,-0.049,,4.68,,,,
Kepler-1697,,4928,1.69,0.96,0.48,,3.97,,3.8912,,
Kepler-1697,,4928,1.69,0.96,0.48,,3.97,,0.091,,
Kepler-1697,,4681.53,0.77,0.75,0.034,-0.588,4.54,,2.2859,,
Kepler-1697,,4928,1.69,0.96,0.48,,3.97,,3.8912,,
Kepler-1697,,5017,0.64,,,-0.637,,,,,
Kepler-1697,,4739,1.58,,0.48,,4.07,,,,
Kepler-1697,,4928,1.69,0.96,0.48,,3.97,,3.8912,,
Kepler-1697,,,,,,,,,,,
Kepler-1698,,5019,0.75,0.72,-0.22,,4.55,,0.5078,,
Kepler-1698,,4975.03,0.74,0.82,0.08,-0.518,4.61,,2.8403,,
Kepler-1698,,,,,,,,,,,
Kepler-1698,,4841,1.35,,-0.255,,4.18,,,,
Kepler-1698,,5019,0.75,0.72,-0.22,,4.55,,3.8116,,
Kepler-1698,,5019,0.75,0.72,-0.22,,4.55,,0.5078,,
Kepler-1698,,,,,,,,,,,
Kepler-1698,,5014,0.76,0.76,-0.1,,4.56,,1.949,,
Kepler-1698,,4945.83,0.74,,,-0.531,,,,,
Kepler-1698,,5019,0.75,0.72,-0.22,,4.55,,0.5078,,
Kepler-1698,,5019,0.75,0.72,-0.22,,4.55,,3.8116,,
Kepler-1698,,5014,0.76,0.76,-0.1,,4.56,,3.001,,
Kepler-1699,,5575.53,,,0.225,,,,,,
Kepler-1699,,5513,0.72,0.79,-0.48,,4.62,,7.7568,,
Kepler-1699,,5338,0.56,,-0.452,,4.9,,,,
Kepler-1699,,5513,0.72,0.79,-0.48,,4.62,,7.7568,,
Kepler-1699,,5513,0.72,0.79,-0.48,,4.62,,7.7568,,
Kepler-1699,,5214.4,,,,,,,,,
Kepler-1699,,5496,0.72,0.81,-0.46,,4.62,,9.9411,,
Kepler-1699,,,,,,,,,,,
Kepler-17,,5787,1.05,,,,4.45,,,,
Kepler-17,,5624,1.02,1.02,0.3,,4.43,,1.5236,,
Kepler-17,,5722,1.01,,,,,,,,
Kepler-17,,5680,1.01,1.03,0.23,,4.44,3.72,,,
Kepler-17,,5781,0.98,1.07,0.26,,4.48,1.5,1.579,,
Kepler-17,,5826,,,0.39,,4.62,,,7,
Kepler-17,,5787,1.05,,,,4.45,,,,
Kepler-17,,5781,1.01,1.04,0.26,0.012,4.45,,1.4217,,
Kepler-17,G2 V,5781,1.05,1.16,0.26,,4.53,1.78,1.415,6,
Kepler-17,,5781,1.01,,,,4.45,,,,
Kepler-17,,5781,0.94,1.03,0.26,,4.53,,1.12,,
Kepler-17,,5787,1.05,1.12,,,4.45,1.03,,,
Kepler-17,,5624,1.02,1.02,0.3,,4.43,,1.5548,,
Kepler-17,,5624,1.02,1.02,0.3,,4.43,,1.5548,,
Kepler-17,,5624,1.02,1.02,0.3,,4.43,,1.5548,,
Kepler-17,,5781,1.05,1.16,0.26,,,1.8,,6,12.01
Kepler-17,,5490.03,1.06,,,-0.037,,,,,
Kepler-17,,5634,0.97,,0.041,,4.49,,,,
Kepler-17,,,,,,,,,,,
Kepler-170,,5417,1.01,,,-0.098,,,,,
Kepler-170,,5655,0.99,1.08,0.44,,4.48,,0.8967,,
Kepler-170,,5679,1.03,1.09,,,4.45,1.8,,,
Kepler-170,,,0.99,1.08,,,,,,,
Kepler-170,,5655,0.99,1.08,0.44,,4.48,,0.8967,,
Kepler-170,,5655,0.99,1.08,0.44,,4.48,,0.8967,,
Kepler-170,,5655,0.99,1.08,0.44,,4.48,,2.0854,,
Kepler-170,,5679,1.04,,,,4.45,,,,
Kepler-170,,5655,0.99,1.08,0.44,,4.48,,2.0854,,
Kepler-170,,5483,1.04,0.96,,-0.055,4.39,,1.2006,,
Kepler-170,,5573,1,,,,,,,,
Kepler-170,,5600,1,1.03,0.31,,4.45,3.63,,,
Kepler-170,,5679,1.03,1.09,,,4.45,1.8,,,
Kepler-170,,5674,1.03,1.09,0.48,,4.45,,0.9134,,
Kepler-170,,,,,,,,,,,
Kepler-170,,,,,,,,,,,
Kepler-170,,5674,1.03,1.09,0.48,,4.45,,1.5415,,
Kepler-170,,5679,1.04,,,,4.45,,,,
Kepler-170,,5679,1.04,,,,4.45,,,,
Kepler-170,,5679,1.03,,,,4.45,,,,
Kepler-170,,5655,0.99,1.08,0.44,,4.48,,2.0854,,
Kepler-170,,5497,1.27,,0.234,,4.26,,,,
Kepler-1700,,6047,0.86,,0.258,,4.6,,,,
Kepler-1700,,,,,,,,,,,
Kepler-1700,,6299,1.17,1.25,0.21,,4.4,,0.0604,,
Kepler-1700,,5885,1.14,,,0.148,,,,,
Kepler-1700,,6299,1.17,1.25,0.21,,4.4,,0.0604,,
Kepler-1700,,6299,1.17,1.25,0.21,,4.4,,0.0604,,
Kepler-1700,,6031,1.09,1.12,,0.154,4.41,,1.2069,,
Kepler-1700,,5814,1.25,1.05,0.16,,4.27,,0.0586,,
Kepler-1701,,5380,0.78,0.86,-0.14,,4.59,,2.2851,,
Kepler-1701,,5146,0.84,0.87,0.03,-0.351,4.53,,2.0678,,
Kepler-1701,,5380,0.78,0.86,-0.14,,4.59,,2.2851,,
Kepler-1701,,5380,0.78,0.86,-0.14,,4.59,,2.2851,,
Kepler-1701,,5116.26,0.83,,,-0.368,,,,,
Kepler-1701,,,,,,,,,,,
Kepler-1701,,5171,0.8,0.82,0,,4.54,,0.6728,,
Kepler-1701,,5204,0.76,,-0.133,,4.65,,,,
Kepler-1702,,5243,0.74,0.83,-0.2,,4.61,,4.7216,,
Kepler-1702,,5243,0.74,0.83,-0.2,,4.61,,4.7216,,
Kepler-1702,,5003.75,0.74,,,-0.508,,,,,
Kepler-1702,,5093,0.73,0.85,,-0.496,4.65,,3.135,,
Kepler-1702,,,,,,,,,,,
Kepler-1702,,5096,0.64,,-0.213,,4.78,,,,
Kepler-1702,,5242,0.73,0.81,-0.24,,4.61,,1.8466,,
Kepler-1702,,5243,0.74,0.83,-0.2,,4.61,,4.7216,,
Kepler-1704,,5725.02,1.73,1.02,0.146,0.46,3.97,,0.2799,,
Kepler-1704,,5755,1.55,1.1,0.24,,4.1,,45.9275,,
Kepler-1704,,5755,1.55,1.1,0.24,,4.1,,45.9275,,
Kepler-1704,,5692,1.04,,-0.131,,4.43,,,,
Kepler-1704,,5757,1.52,,,,4.14,,,,
Kepler-1704,,5746,1.7,1.13,0.196,0.452,4.03,7.4,0.325,,
Kepler-1704,,,,,,,,,,,
Kepler-1704,,5757,1.52,1.17,,,4.14,5.4,,,
Kepler-1704,,5757,1.52,,,,4.14,,,,
Kepler-1705,,5775,0.77,0.84,-0.52,,4.59,,0.3395,,
Kepler-1705,,5775,0.77,0.84,-0.52,,4.59,,0.8202,,
Kepler-1705,,,,,,,,,,,
Kepler-1705,,6072,1.19,1.15,0.14,,4.34,,0.8453,,
Kepler-1705,,6312,1.26,1.14,-0.2,0.354,4.3,2.59,0.7966,,
Kepler-1705,,6362,1.29,1.27,,0.392,4.32,,0.8281,,
Kepler-1705,,5775,0.77,0.84,-0.52,,4.59,,0.8202,,
Kepler-1705,,5539,0.75,,-0.51,,4.69,,,,
Kepler-1705,,5775,0.77,0.84,-0.52,,4.59,,0.3395,,
Kepler-1705,,,,,,,,,,,
Kepler-1705,,5775,0.77,0.84,-0.52,,4.59,,0.8202,,
Kepler-1705,,,,,,,,,,,
Kepler-1705,,6072,1.19,1.15,0.14,,4.34,,0.2992,,
Kepler-1708,,6157,1.12,1.09,0,0.182,4.37,3.16,1.1,,
Kepler-1708,,5891,1.21,1.07,,0.198,4.3,,0.8595,,
Kepler-1708,,5741,0.79,,-0.034,,4.66,,,,
Kepler-1709,,5918,1.04,1,-0.04,,4.4,,7.2716,,
Kepler-1709,,,,,,,,,,,
Kepler-1709,,5952,0.97,1.06,0.02,,4.49,,10.0291,,
Kepler-1709,,5952,0.97,1.06,0.02,,4.49,,10.0291,,
Kepler-1709,,5850,1.26,,-0.003,,4.28,,,,
Kepler-1709,,5952,1.04,,,,4.43,,,,
Kepler-1709,,5952,0.97,1.06,0.02,,4.49,,10.0291,,
Kepler-1709,,5789.91,1.14,1.04,0.046,0.115,4.34,,1.0015,,
Kepler-1709,,5952,1.04,,,,4.43,,,,
Kepler-1709,,5952,1.04,1.08,,,4.43,2.2,,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,1.87,,
Kepler-171,,5632,0.83,0.93,,,4.57,0.7,,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,6.288,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,6.288,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,0.6517,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,1.87,,
Kepler-171,,5529,0.94,,,,,,,,
Kepler-171,,5456,0.94,0.91,0.14,,4.45,,5.916,,
Kepler-171,,5456,0.94,0.91,0.14,,4.45,,1.8271,,
Kepler-171,,5437,0.81,,,,4.57,,,,
Kepler-171,,5632,0.83,0.93,,,4.57,0.7,,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,1.87,,
Kepler-171,,,,,,,,,,,
Kepler-171,,5437,0.81,,,,4.57,,,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,6.288,,
Kepler-171,,5329,0.96,,,-0.178,,,,,
Kepler-171,,5632,0.83,0.93,,,4.57,0.7,,,
Kepler-171,,5437,0.86,,-0.151,,4.57,,,,
Kepler-171,,5437,0.81,,,,4.57,,,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,0.6517,,
Kepler-171,,5456,0.94,0.91,0.14,,4.45,,1.2534,,
Kepler-171,,5642,0.84,,,,4.57,,,,
Kepler-171,,5641,0.83,0.91,-0.16,,4.56,,0.6517,,
Kepler-171,,5521,1,0.97,0.11,-0.079,4.43,,1.3767,,
Kepler-171,,,,,,,,,,,
Kepler-171,,,,,,,,,,,
Kepler-171,,5949,1.09,1.07,0.05,,4.4,3.47,,,
Kepler-1710,,5531,0.96,,,,4.44,,,,
Kepler-1710,,,,,,,,,,,
Kepler-1710,,5572,0.91,0.98,-0.07,-0.143,4.51,,1.8354,,
Kepler-1710,,5531,0.96,,,,4.44,,,,
Kepler-1710,,5650,0.9,0.93,-0.04,,4.5,,3.7025,,
Kepler-1710,,5531,0.95,0.91,,,4.44,9.1,,,
Kepler-1710,,5493,0.8,,-0.55,,4.63,,,,
Kepler-1710,,5653,0.86,0.95,-0.04,,4.55,,3.6348,,
Kepler-1710,,,,0.93,,,,,,,
Kepler-1710,,5653,0.86,0.95,-0.04,,4.55,,3.6348,,
Kepler-1710,,5653,0.86,0.95,-0.04,,4.55,,3.6348,,
Kepler-1711,,5757,1.07,0.95,-0.02,,4.36,,0.7559,,
Kepler-1711,,5757,1.07,0.95,-0.02,,4.36,,0.7559,,
Kepler-1711,,5706,1.03,0.94,0,,4.38,,1.2317,,
Kepler-1711,,5758,1.06,,,,4.38,,,,
Kepler-1711,,5757,1.07,0.95,-0.02,,4.36,,0.7559,,
Kepler-1711,,5758,1.06,1,,,4.38,6.6,,,
Kepler-1711,,5745.26,1.09,,-0.021,,,,,,
Kepler-1711,,,,,,,,,,,
Kepler-1711,,5758,1.06,,,,4.38,,,,
Kepler-1711,,5620,1.1,,-0.357,,4.39,,,,
Kepler-1712,,3833,0.58,0.57,,-1.179,4.67,,4.0773,,
Kepler-1712,,3804,0.52,,,,4.74,,,,
Kepler-1712,,3954,0.51,0.53,,,4.75,13.8,,,
Kepler-1712,,3804,0.52,,,,4.74,,,,
Kepler-1712,,,,,,,,,,,
Kepler-1712,,3804,0.6,,-0.068,,4.56,,,,
Kepler-1712,,3741,0.49,0.51,0.03,,4.76,,0.8601,,
Kepler-1712,,3732,0.51,0.52,0.02,,4.74,,1.6603,,
Kepler-1712,,3741,0.49,0.51,0.03,,4.76,,0.8601,,
Kepler-1712,,3741,0.49,0.51,0.03,,4.76,,0.8601,,
Kepler-1713,,6477,1.46,1.3,0.1,,4.22,,0.0355,,
Kepler-1713,,6463,1.45,1.32,0.09,,4.24,,0.0432,,
Kepler-1713,,6258,1.58,,-0.231,,4.12,,,,
Kepler-1713,,6364,1.26,,,,4.33,,,,
Kepler-1713,,6364,1.26,,,,4.33,,,,
Kepler-1713,,6334.8,1.45,1.25,-0.113,0.486,4.21,,0.5748,,
Kepler-1713,,,,,,,,,,,
Kepler-1713,,6463,1.45,1.32,0.09,,4.24,,0.0432,,
Kepler-1713,,6364,1.26,1.24,,,4.33,1.45,,,
Kepler-1713,,6463,1.45,1.32,0.09,,4.24,,0.0432,,
Kepler-1714,,6174,2.11,1.49,0.22,,3.96,,0.2116,,
Kepler-1714,,6088,1.95,1.41,,,4.01,3.05,,,
Kepler-1714,,6088,1.95,,,,4.01,,,,
Kepler-1714,,6174,2.11,1.49,0.22,,3.96,,0.2116,,
Kepler-1714,,6150,2.09,1.45,0.22,,3.96,,0.3095,,
Kepler-1714,,6174,2.11,1.49,0.22,,3.96,,0.2116,,
Kepler-1714,,,,,,,,,,,
Kepler-1714,,6088,1.95,,,,4.01,,,,
Kepler-1714,,6088.22,2.16,1.14,0.116,0.76,3.83,,0.1603,,
Kepler-1715,,,,,,,,,,,
Kepler-1715,,6323,1.21,,,,4.37,,,,
Kepler-1715,,6323,1.21,,,,4.37,,,,
Kepler-1715,,6033.33,1.48,1.12,-0.045,0.417,4.15,,0.488,,
Kepler-1715,,6210,1.1,1.11,-0.02,,4.4,,0.5978,,
Kepler-1715,,6210,1.1,1.11,-0.02,,4.4,,0.5978,,
Kepler-1715,,6212,1.21,1.08,-0.04,,4.31,,0.1306,,
Kepler-1715,,6323,1.21,1.23,,,4.37,0.82,,,
Kepler-1715,,6054,1.53,,-0.575,,4.14,,,,
Kepler-1715,,6210,1.1,1.11,-0.02,,4.4,,0.5978,,
Kepler-1716,,4789,0.65,,,,4.66,,,,
Kepler-1716,,4741,0.69,0.67,-0.24,,4.59,,1.9285,,
Kepler-1716,,4813.46,0.7,0.78,-0.104,-0.624,4.64,,3.1838,,
Kepler-1716,,4894,0.68,0.75,-0.24,,4.64,,5.1263,,
Kepler-1716,,4711,1.35,,-0.088,,4.17,,,,
Kepler-1716,,,,,,,,,,,
Kepler-1716,,4789,0.65,,,,4.66,,,,
Kepler-1716,,4789,0.65,0.7,,,4.66,7.9,,,
Kepler-1716,,4741,0.69,0.67,-0.24,,4.59,,1.9285,,
Kepler-1716,,4741,0.69,0.67,-0.24,,4.59,,1.9285,,
Kepler-1717,,6200,1.64,1.16,-0.06,,4.07,,0.8895,,
Kepler-1717,,,,,,,,,,,
Kepler-1717,,,,,,,,,,,
Kepler-1717,,6823,1.38,1.32,-0.1,,4.28,,0.7112,,
Kepler-1717,,6591.89,1.52,1.37,-0.06,0.593,4.21,,0.5527,,
Kepler-1717,,,,,,,,,,,
Kepler-1717,,6823,1.38,1.32,-0.1,,4.28,,2.2159,,
Kepler-1717,,6823,1.38,1.32,-0.1,,4.28,,2.2159,,
Kepler-1717,,6858,1.3,1.33,,,4.33,0.33,,,
Kepler-1717,,6823,1.38,1.32,-0.1,,4.28,,0.7112,,
Kepler-1717,,6823,1.38,1.32,-0.1,,4.28,,2.2159,,
Kepler-1717,,6200,1.64,1.16,-0.06,,4.07,,0.2225,,
Kepler-1717,,6200,1.64,1.16,-0.06,,4.07,,0.6743,,
Kepler-1717,,6679,1.32,,,,4.31,,,,
Kepler-1717,,6858,1.3,1.33,,,4.33,0.33,,,
Kepler-1717,,6679,1.18,,-0.091,,4.37,,,,
Kepler-1717,,6679,1.32,,,,4.31,,,,
Kepler-1717,,6823,1.38,1.32,-0.1,,4.28,,0.7112,,
Kepler-1717,,6823,1.38,1.32,-0.1,,4.28,,1.049,,
Kepler-1718,,,,,,,,,,,
Kepler-1718,,5714,0.91,,,,4.45,,,,
Kepler-1718,,5712,0.99,0.78,-0.44,,4.34,,1.7171,,
Kepler-1718,,5714,0.91,,,,4.45,,,,
Kepler-1718,,5712,0.99,0.78,-0.44,,4.34,,1.7171,,
Kepler-1718,,5731,0.91,0.85,-0.32,,4.45,,1.7807,,
Kepler-1718,,5816,1.3,,-0.712,,4.26,,,,
Kepler-1718,,5714,0.91,0.84,,,4.45,10.4,,,
Kepler-1718,,5712,0.99,0.78,-0.44,,4.34,,1.7171,,
Kepler-1718,,5839.24,0.93,1.05,-0.308,-0.04,4.52,,1.8265,,
Kepler-1719,,5707,1.58,,,,4.08,,,,
Kepler-1719,,5752.63,1.84,1.03,0.092,0.526,3.92,,0.2317,,
Kepler-1719,,5687,1.77,1.08,0.04,,3.97,,0.1544,,
Kepler-1719,,5687,1.77,1.08,0.04,,3.97,,0.1544,,
Kepler-1719,,5687,1.77,1.08,0.04,,3.97,,0.1544,,
Kepler-1719,,5707,1.58,1.09,,,4.08,7.7,,,
Kepler-1719,,,,,,,,,,,
